name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Tiara	100	0	1	1	40	50	0	0	0	0	38	0	70	52	17800	95000	ci2	ci2	13		lit	lit	ci1	ci2	ci3	0	0	2	2	1	3	1	flpci1	invci2									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	0	0	1
Diadem	100	0	1	1	50	60	0	0	0	0	30	0	85	64	29300	152500	ci3	ci3	18		lit	lit	ci1	ci2	ci3	0	0	2	2	1	3	1	flpci2	invci3									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	3	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	0	0	1
Shako	100	0	1	1	98	141	0	0	50	0	18	0	58	43	28454	148270	uap	uap			cap	cap	cap	xap	uap	0	0	2	2	1	2	1	flpcap	invcap									0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Hydraskull	100	0	4	1	101	145	0	0	84	0	27	0	63	47	31670	164350	ukp	ukp			skp	skp	skp	xkp	ukp	0	0	2	2	1	2	1	flpskp	invskp									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Armet	100	0	4	1	105	149	0	0	109	0	36	0	68	51	35270	182350	ulm	ulm			hlm	hlm	hlm	xlm	ulm	0	0	2	2	1	2	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Giant Conch	100	0	4	1	110	154	0	0	142	0	45	0	54	40	29203	152015	uhl	uhl			fhl	fhl	fhl	xhl	uhl	0	0	2	2	1	2	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Spired Helm	100	0	4	1	114	159	0	0	192	0	60	0	79	59	43884	225420	uhm	uhm			ghm	ghm	ghm	xhm	uhm	0	0	2	2	1	3	1	flpghm	invghm		invuhms							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			7	8	0	xxx	xxx	0	0	1
Corona	100	0	4	1	111	165	0	0	174	0	75	0	85	66	47685	244425	urn	urn			crn	crn	crn	xrn	urn	0	0	2	2	1	3	1	flpcrn	invcrn									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Demonhead	100	0	4	1	101	154	0	0	102	0	30	0	74	55	38589	198945	usk	usk			msk	msk	msk	xsk	usk	0	0	2	2	1	3	1	flpmsk	invmsk									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	0	0	1
Dusk Shroud	100	0	1	1	361	467	0	0	77	0	30	0	65	49	109478	553390	uui	uui			qlt	qlt	qui	xui	uui	0	1	2	3	1	4	1	flpqlt	invqlt			0	0	0	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Wyrmhide	100	0	2	1	364	470	0	0	84	0	36	0	67	50	113764	574820	uea	uea			lea	lea	lea	xea	uea	0	1	2	3	1	4	1	flplea	invlea			0	0	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Scarab Husk	100	0	3	1	369	474	0	0	95	0	42	0	68	51	116586	588930	ula	ula			hla	hla	hla	xla	ula	0	1	2	3	1	4	1	flphla	invhla			1	1	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Wire Fleece	100	0	4	1	375	481	0	0	111	0	48	0	70	53	121825	615125	utu	utu			stu	stu	stu	xtu	utu	0	1	2	3	1	4	1	flpstu	invstu			1	0	0	1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Diamond Mail	100	0	4	1	383	489	0	5	131	0	39	0	72	54	127518	643590	ung	ung			rng	rng	rng	xng	ung	0	1	2	3	1	4	1	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Loricated Mail	100	0	4	1	390	496	0	10	149	0	54	0	73	55	131383	662915	ucl	ucl			scl	scl	scl	xcl	ucl	0	1	2	3	1	4	1	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Boneweave	100	0	4	1	399	505	0	5	158	0	68	0	62	47	114150	576750	uhn	uhn			chn	chn	chn	xhn	uhn	0	1	2	3	1	4	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Great Hauberk	100	0	4	1	395	501	1	0	118	0	75	0	75	56	136403	688015	urs	urs			brs	brs	brs	xrs	urs	0	1	2	3	1	4	1	flpbrs	invbrs			0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Balrog Skin	100	0	4	1	410	517	0	5	165	0	45	0	76	57	142976	720880	upl	upl			spl	spl	spl	xpl	upl	0	1	2	3	1	4	1	flpspl	invspl			1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Hellforged Plate	100	0	4	1	421	530	0	10	196	0	90	0	78	59	150365	757825	ult	ult			plt	plt	plt	xlt	ult	0	1	2	3	1	4	1	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Kraken Shell	100	0	4	1	417	523	2	5	174	0	72	0	81	61	154308	777540	uld	uld			fld	fld	fld	xld	uld	0	1	2	3	1	4	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Lacquered Plate	100	0	4	1	433	541	0	5	208	0	82	0	82	62	161847	815235	uth	uth			gth	gth	gth	xth	uth	0	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Shadow Plate	100	0	4	1	446	557	2	10	230	0	105	0	83	64	168622	849110	uul	uul			ful	ful	ful	xul	uul	0	1	2	3	1	4	1	flpful	invful			2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Sacred Armor	100	0	4	1	487	600	5	5	232	0	90	0	85	66	187079	941395	uar	uar			aar	aar	aar	xar	uar	0	1	2	3	1	4	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Archon Plate	100	0	4	1	410	524	1	0	103	0	90	0	84	63	159063	801315	utp	utp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	4	1	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			7	8	0	xxx	xxx	0	0	1
Heater	100	0	2	1	95	110	0	0	77	22	132	0	58	43	24452	128260	uuc	uuc			buc	buc	buc	xuc	uuc	0	7	2	2	1	2	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	16	30	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Luna	100	0	3	1	108	123	0	0	100	20	126	0	61	45	28894	150470	uml	uml			buc	buc	sml	xml	uml	0	7	2	2	1	2	2	flpsml	invsml	invsmlu	invsmlu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	17	29	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	5	0	xxx	xxx	0	0	1
Hyperion	100	0	4	1	119	135	0	5	127	24	123	0	64	48	33257	172285	urg	urg			lrg	lrg	lrg	xrg	urg	0	7	2	3	1	3	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	14	32	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	2	0	xxx	xxx	0	0	1
Monarch	100	0	4	1	133	148	0	0	156	22	129	0	72	54	41248	212240	uit	uit			kit	kit	kit	xit	uit	0	7	2	3	1	4	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	12	34	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	2	0	xxx	xxx	0	0	1
Aegis	100	0	4	1	145	161	1	10	219	24	138	0	79	59	49150	251750	uow	uow			tow	tow	tow	xow	uow	0	7	2	3	1	4	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	18	28	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	2	0	xxx	xxx	0	0	1
Ward	100	0	4	1	153	170	0	5	185	24	150	0	84	63	55118	281590	uts	uts			kit	kit	gts	xts	uts	0	7	2	4	1	4	2	flpgts	invgts	invgtsu	invutss							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	11	35	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	2	0	xxx	xxx	0	0	1
Bramble Mitts	100	0	1	1	54	62	0	0	50	0	18	0	57	42	13760	74800	ulg	ulg			lgl	lgl	lgl	xlg	ulg	0	16	2	2	0	0	0	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Vampirebone Gloves	100	0	1	1	56	65	0	0	50	0	21	0	63	47	15731	84655	uvg	uvg			vgl	vgl	vgl	xvg	uvg	0	16	2	2	0	0	0	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Vambraces	100	0	2	1	59	67	0	0	106	0	24	0	69	51	17782	94910	umg	umg			mgl	mgl	mgl	xmg	umg	0	16	2	2	0	0	0	flpmgl	invmgl									0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Crusader Gauntlets	100	0	3	1	59	68	0	0	151	0	27	0	76	57	19860	105300	utg	utg			mgl	mgl	tgl	xtg	utg	0	16	2	2	0	0	0	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Ogre Gauntlets	100	0	4	1	62	71	0	0	185	0	36	0	85	64	23040	121200	uhg	uhg			hgl	hgl	hgl	xhg	uhg	0	16	2	2	0	0	0	flphgl	invhgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Wyrmhide Boots	100	0	1	1	54	62	0	0	50	0	18	0	60	45	14458	78290	ulb	ulb			lbt	lbt	lbt	xlb	ulb	0	16	2	2	0	0	0	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	65	100	240		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Scarabshell Boots	100	0	1	1	56	65	0	0	91	0	21	0	66	49	16436	88180	uvb	uvb			vbt	vbt	vbt	xvb	uvb	0	16	2	2	0	0	0	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	60	110	240		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Boneweave Boots	100	0	2	1	59	67	0	0	118	0	24	0	72	54	18528	98640	umb	umb			mbt	mbt	mbt	xmb	umb	0	16	2	2	0	0	0	flpmbt	invmbt									0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	69	118	240		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Mirrored Boots	100	0	3	1	59	68	0	0	163	0	27	0	81	60	21129	111645	utb	utb			mbt	mbt	tbt	xtb	utb	0	16	2	2	0	0	0	flptbt	invtbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	50	145	240		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Myrmidon Greaves	100	0	4	1	62	71	0	0	208	0	36	0	85	65	23030	121150	uhb	uhb			hbt	hbt	hbt	xhb	uhb	0	16	2	2	0	0	0	flphbt	invhbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	83	149	240		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Spiderweb Sash	100	0	1	1	55	62	0	0	50	0	18	0	61	46	14721	79605	ulc	ulc			lbl	lbl	lbl	zlb	ulc	0	16	2	1	0	0	0	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Vampirefang Belt	100	0	1	1	56	63	0	0	50	0	21	0	68	51	16628	89140	uvc	uvc			vbl	vbl	vbl	zvb	uvc	0	16	2	1	0	0	0	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Mithril Coil	100	0	2	1	58	65	0	0	106	0	24	0	75	56	18867	100335	umc	umc			mbl	mbl	mbl	zmb	umc	0	16	2	1	0	0	0	flpmbl	invmbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Troll Belt	100	0	2	1	59	66	0	0	151	0	27	0	82	62	20892	110460	utc	utc			mbl	mbl	tbl	ztb	utc	0	16	2	1	0	0	0	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Colossus Girdle	100	0	3	1	61	71	0	0	185	0	36	0	85	67	22826	120130	uhc	uhc			hbl	hbl	hbl	zhb	uhc	0	16	2	1	0	0	0	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Bone Visage	100	0	2	1	100	157	0	0	106	0	60	0	84	63	43937	225685	uh9	uh9			bhm	bhm	bhm	xh9	uh9	0	0	2	2	1	3	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			7	8	0	xxx	xxx	0	0	1
Troll Nest	100	0	2	1	158	173	0	0	106	20	111	0	76	57	51221	262105	ush	ush			bsh	bsh	bsh	xsh	ush	0	7	2	3	1	3	2	flpbsh	invbsh	invbshu	invbshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	24	38	200		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Blade Barrier	100	0	3	1	147	163	0	0	118	20	124	0	68	51	43022	221110	upk	upk			spk	spk	spk	xpk	upk	0	7	2	3	1	3	2	flpspk	invspk	invspku	invspku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	26	40	200		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Alpha Helm	100	0	1	1	52	62	0	0	44	0	30	0	35	26	8450	48250	dr6	dr6			dr1	dr1	dr1	dr6	drb	0	0	2	2	1	3	1	flpdr1	invdr1									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			8	8	0	xxx	xxx	0	0	1
Griffon Headress	100	0	1	1	46	68	0	0	50	0	30	0	40	30	9582	53910	dr7	dr7			dr4	dr4	dr2	dr7	drc	0	0	2	2	1	3	1	flpdr4	invdr2									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			8	8	0	xxx	xxx	0	0	1
Hunter's Guise	100	0	1	1	67	81	0	0	56	0	30	0	46	29	14184	76920	dr8	dr8			dr3	dr3	dr3	dr8	drd	0	0	2	2	1	3	1	flpdr3	invdr3									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Sacred Feathers	100	0	1	1	58	87	0	0	62	0	30	0	50	32	15059	81295	dr9	dr9			dr4	dr4	dr4	dr9	dre	0	0	2	2	1	3	1	flpdr4	invdr4									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Totemic Mask	100	0	1	1	73	98	0	0	65	0	30	0	55	41	19364	102820	dra	dra			dr1	dr1	dr5	dra	drf	0	0	2	2	1	3	1	flpdr1	invdr5									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Jawbone Visor	100	0	2	1	55	68	0	0	58	0	38	0	33	25	8602	49010	ba6	ba6			ba1	dr1	ba1	ba6	bab	0	0	2	2	1	3	1	flpba1	invba1									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	0	0	xxx	xxx	0	0	1
Lion Helm	100	0	2	1	63	75	0	0	73	0	52	0	38	29	10989	60945	ba7	ba7			ba1	bhm	ba2	ba7	bac	0	0	2	2	1	3	1	flpba1	invba2									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			5	0	0	xxx	xxx	0	0	1
Rage Mask	100	0	2	1	78	90	0	0	88	0	68	0	44	29	15332	82660	ba8	ba8			ba3	bhm	ba3	ba8	bad	0	0	2	2	1	3	1	flpba3	invba3									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	0	0	xxx	xxx	0	0	1
Savage Helmet	100	0	2	1	85	98	0	0	103	0	75	0	49	32	18499	98495	ba9	ba9			ba5	bhm	ba4	ba9	bae	0	0	2	2	1	3	1	flpba5	invba4									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	0	0	xxx	xxx	0	0	1
Slayer Guard	100	0	2	1	93	120	0	0	118	0	82	0	54	40	23616	124080	baa	baa			ba5	bhm	ba5	baa	baf	0	0	2	2	1	3	1	flpba5	invba5									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	0	0	xxx	xxx	0	0	1
Akaran Targe	100	0	2	1	101	125	0	0	44	10	30	0	35	26	16550	88750	pa6	pa6		304	pa1	spk	pa1	pa6	pab	0	7	2	2	1	4	2	flppa1	invpa1									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0	0	0	1	0	12	16	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			0	0	0	xxx	xxx	0	0	1
Akaran Rondache	100	0	2	1	113	137	0	0	59	15	45	0	40	30	20770	109850	pa7	pa7		304	pa1	spk	pa2	pa7	pac	0	7	2	2	1	4	2	flppa1	invpa2									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0	0	0	1	0	15	20	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20			0	0	0	xxx	xxx	0	0	1
Protector Shield	100	0	2	1	129	153	0	0	69	20	60	0	46	34	26774	139870	pa8	pa8		304	pa3	spk	pa3	pa8	pad	0	7	2	4	1	4	2	flppa3	invpa3									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0	0	0	1	0	18	24	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	0	1
Guilded Shield	100	0	2	1	144	168	0	0	89	22	75	0	51	38	32704	169520	pa9	pa9		304	pa3	spk	pa4	pa9	pae	0	7	2	4	1	4	2	flppa3	invpa4									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0	0	0	1	0	20	28	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	0	1
